tx_type,client,tx,amount
withdraw,4,54,25.4424
withdraw,85,52,21.7141
dispute,94,57,95.0033
resolve,65,92,16.0854
deposit,17,86,4.4269
deposit,89,41,10.6572
chargeback,61,42,39.3048
withdraw,36,19,26.3753
chargeback,11,89,2.242
deposit,90,1,92.2274
resolve,100,67,58.3892
chargeback,65,46,38.6121
withdraw,59,89,32.0248
resolve,55,94,49.5174
deposit,59,77,52.1398
deposit,6,67,55.7185
chargeback,54,40,34.0285
withdraw,49,4,79.0757
withdraw,95,85,19.8106
deposit,30,84,85.3478
dispute,7,51,97.3953
dispute,91,44,1.9219
dispute,38,97,83.9516
resolve,28,20,4.2168
dispute,27,75,34.9522
deposit,26,29,7.9219
chargeback,12,96,7.5048
chargeback,59,97,7.8583
chargeback,5,57,16.7224
deposit,26,61,6.0654
withdraw,23,36,60.0342
deposit,42,15,28.106
chargeback,90,46,3.2024
chargeback,26,54,35.8634
deposit,70,44,39.9991
chargeback,39,50,58.7034
dispute,15,86,86.4717
resolve,77,89,15.2274
chargeback,70,60,16.267
chargeback,68,66,24.8662
dispute,24,5,26.5172
withdraw,11,37,5.3676
resolve,78,29,30.9818
resolve,98,77,90.4738
chargeback,15,14,55.2704
withdraw,54,19,91.4778
chargeback,9,43,88.6904
resolve,97,71,22.3655
dispute,46,70,33.2837
withdraw,82,1,59.9884
resolve,50,61,58.8562
resolve,3,19,9.6052
resolve,90,14,98.7302
deposit,30,10,84.5715
chargeback,82,6,13.4413
withdraw,12,90,72.6113
dispute,10,97,39.8617
deposit,85,83,90.1523
deposit,52,22,94.1488
deposit,8,55,71.91
resolve,42,41,67.6141
chargeback,68,67,43.0283
withdraw,47,40,56.0535
resolve,98,17,82.9446
withdraw,10,24,21.2299
chargeback,23,6,68.7606
dispute,76,53,24.0197
dispute,92,99,35.9265
deposit,15,93,5.7614
dispute,48,91,32.0514
withdraw,25,7,44.0297
dispute,61,74,80.9567
deposit,30,75,41.4049
deposit,77,91,28.9604
chargeback,75,67,87.1144
resolve,82,10,22.2309
resolve,32,58,66.5041
deposit,98,100,64.8056
chargeback,99,100,24.3955
deposit,58,15,51.8029
chargeback,95,7,89.3865
deposit,56,55,83.0865
dispute,86,75,45.1237
dispute,17,48,57.1468
withdraw,75,1,94.1816
chargeback,86,4,11.45
withdraw,45,30,55.6274
dispute,29,15,39.2544
chargeback,46,61,53.6777
dispute,96,29,93.605
dispute,70,70,35.2409
dispute,18,3,19.1329
deposit,85,90,73.769
chargeback,28,10,60.4809
deposit,12,85,0.2576
withdraw,2,26,53.1707
dispute,79,22,20.1366
chargeback,16,3,2.1835
dispute,6,35,99.4736
dispute,49,13,75.7844
chargeback,14,86,0.8585
dispute,97,16,49.1568
deposit,49,63,36.1757
dispute,13,39,49.9384
chargeback,67,24,76.2666
withdraw,98,38,20.7876
dispute,85,61,79.2356
chargeback,41,24,68.772
chargeback,53,27,17.5617
resolve,50,29,42.2248
withdraw,33,23,67.582
chargeback,43,40,80.9681
chargeback,91,69,98.39
dispute,37,70,82.6376
resolve,59,87,94.2013
chargeback,74,51,57.6929
deposit,6,89,37.8269
dispute,24,88,43.0627
resolve,94,11,41.3417
withdraw,72,5,46.472
resolve,100,44,39.8683
deposit,78,54,1.5899
resolve,98,58,98.5866
withdraw,30,47,73.496
dispute,26,89,97.6696
resolve,43,55,3.2356
deposit,11,11,36.7822
dispute,4,64,4.6304
resolve,1,3,40.6548
resolve,5,86,18.8197
chargeback,90,65,80.98
chargeback,32,71,59.04
deposit,86,62,73.7476
chargeback,52,91,95.1728
deposit,91,6,78.0703
dispute,35,11,32.4953
dispute,20,2,10.7338
dispute,46,76,87.7948
resolve,41,30,92.65
chargeback,65,39,79.9801
resolve,77,92,24.4767
chargeback,38,72,26.2424
deposit,37,41,52.723
chargeback,37,64,80.4738
dispute,83,42,96.8086
resolve,48,8,95.7472
dispute,60,50,75.0203
resolve,37,74,14.1722
deposit,30,30,53.1054
chargeback,72,22,45.0753
deposit,47,36,44.0941
dispute,62,56,92.6982
withdraw,80,2,86.3388
resolve,44,74,56.4602
chargeback,51,45,10.6865
chargeback,99,22,53.6312
deposit,97,58,61.0936
withdraw,75,39,62.4343
chargeback,80,13,91.221
deposit,45,48,79.7367
dispute,83,29,9.3682
resolve,16,25,30.8405
deposit,96,52,58.4993
dispute,76,93,58.5175
resolve,100,27,59.2847
chargeback,62,95,47.301
dispute,100,65,25.2272
chargeback,25,55,2.5465
deposit,13,9,22.099
deposit,48,30,59.4116
resolve,20,32,44.5171
chargeback,96,19,81.6374
chargeback,7,61,27.9685
deposit,77,55,67.7054
withdraw,91,56,25.5563
chargeback,78,72,91.0671
resolve,82,9,95.8482
withdraw,9,51,33.1192
deposit,30,55,68.743
withdraw,69,47,34.7013
withdraw,35,25,67.0193
deposit,66,50,38.8715
withdraw,68,24,60.8095
resolve,19,70,34.7528
dispute,72,91,47.0044
withdraw,73,30,22.5033
withdraw,26,3,95.3644
dispute,28,60,7.5684
dispute,64,67,80.954
withdraw,5,24,60.8619
dispute,49,20,76.4123
dispute,22,72,53.0536
withdraw,22,95,98.9829
withdraw,47,30,32.1165
deposit,67,60,69.9243
dispute,47,9,49.9382
dispute,29,77,19.3623
resolve,4,9,57.3574
dispute,63,97,53.15
deposit,91,92,40.48
withdraw,9,30,46.4459
resolve,9,74,25.8361
chargeback,76,47,93.5874
chargeback,12,68,43.986
resolve,58,72,15.1018
resolve,57,8,54.3151
withdraw,61,69,20.9586
dispute,90,31,23.57
withdraw,100,84,74.3863
withdraw,15,69,70.6077
deposit,67,51,34.2218
chargeback,29,71,52.4786
chargeback,68,17,10.1829
deposit,84,87,38.0528
dispute,86,63,90.3065
resolve,97,23,98.1972
dispute,25,17,2.3918
withdraw,87,46,74.5618
resolve,66,66,86.6372
dispute,39,92,82.7972
resolve,61,90,48.31
withdraw,2,2,79.5728
deposit,55,2,30.9002
withdraw,97,64,97.2271
deposit,4,74,55.5544
deposit,13,78,31.9634
withdraw,92,55,81.993
deposit,98,87,14.1856
chargeback,10,54,65.6102
chargeback,69,90,6.8042
withdraw,89,33,87.0746
resolve,28,78,22.4066
deposit,16,79,94.8195
dispute,43,83,5.1379
resolve,76,64,63.6066
deposit,42,99,23.3678
deposit,34,57,47.0291
resolve,94,81,73.8003
withdraw,42,51,86.3634
dispute,52,57,28.1673
withdraw,51,77,87.0469
chargeback,55,26,68.8582
resolve,39,57,36.6731
deposit,20,24,99.8152
deposit,62,75,43.5978
withdraw,31,93,68.8714
dispute,46,83,8.1064
resolve,49,79,15.8363
chargeback,8,63,93.331
deposit,10,87,84.5049
resolve,55,71,30.8754
chargeback,67,19,61.6977
deposit,93,28,39.9219
dispute,64,90,35.5334
withdraw,33,57,64.6254
withdraw,39,92,83.2274
deposit,86,61,40.3175
deposit,18,37,72.5443
dispute,12,8,3.0818
resolve,14,15,58.5464
deposit,34,13,58.3414
dispute,36,13,18.2618
deposit,26,76,10.4581
deposit,54,52,20.0917
chargeback,40,64,82.4669
deposit,62,94,92.2849
withdraw,29,77,86.4464
deposit,71,81,23.0398
chargeback,56,38,9.0007
chargeback,12,37,22.3536
dispute,78,76,37.3937
chargeback,6,5,27.5769
resolve,94,50,20.3196
resolve,86,54,94.3512
resolve,30,27,1.2761
deposit,56,18,99.9351
deposit,65,20,17.4434
chargeback,28,47,50.5123
resolve,30,72,80.5309
resolve,21,95,25.7468
deposit,73,28,1.3128
deposit,21,86,86.1071
resolve,35,41,10.0989
chargeback,17,68,7.9883
chargeback,15,35,20.7046
chargeback,14,31,98.4491
dispute,53,16,47.9868
chargeback,56,54,0.6197
deposit,75,62,77.562
withdraw,66,79,49.0116
withdraw,78,65,74.2208
chargeback,32,2,95.0896
resolve,21,38,12.2273
resolve,65,11,6.404
deposit,87,27,40.5287
chargeback,95,55,80.3573
dispute,56,7,76.7211
withdraw,82,55,19.6514
deposit,63,65,52.7063
chargeback,41,26,53.8378
chargeback,62,19,59.8584
withdraw,36,95,18.4758
dispute,69,67,32.7388
withdraw,61,13,77.3359
withdraw,36,68,62.4256
withdraw,33,30,11.8665
deposit,67,15,47.8698
resolve,44,60,90.4945
chargeback,22,29,90.7623
withdraw,57,66,51.6498
dispute,44,56,71.4532
chargeback,37,26,92.3681
withdraw,59,94,11.6312
deposit,89,65,46.2532
deposit,36,23,42.1748
resolve,45,60,84.5148
resolve,18,58,99.5209
resolve,96,58,96.9744
resolve,2,1,71.4002
chargeback,56,4,87.7551
withdraw,29,56,48.6039
deposit,47,30,13.1036
chargeback,27,42,26.9533
dispute,29,32,23.3463
deposit,53,54,34.8827
chargeback,95,77,61.5948
withdraw,53,46,68.6278
resolve,17,31,29.6705
dispute,15,33,85.9117
deposit,27,47,59.5999
chargeback,58,21,52.9251
resolve,60,5,21.1899
withdraw,54,37,12.9883
withdraw,90,57,46.0206
resolve,54,67,91.7534
chargeback,56,27,34.3303
chargeback,90,23,51.631
chargeback,77,17,69.3748
dispute,36,55,19.8815
deposit,53,48,88.7897
resolve,18,82,4.0945
chargeback,78,23,79.365
resolve,58,48,30.36
resolve,89,80,79.7656
dispute,69,35,63.6746
withdraw,44,92,66.7522
chargeback,15,9,87.033
resolve,48,47,67.2948
deposit,38,21,28.2975
deposit,60,46,94.6254
deposit,24,87,77.9627
chargeback,98,60,82.2342
resolve,20,88,25.0346
chargeback,19,17,37.1809
chargeback,19,2,31.1651
dispute,15,58,96.8739
dispute,68,53,31.215
withdraw,90,66,29.1226
chargeback,15,41,82.0396
resolve,79,53,59.528
withdraw,2,30,48.995
resolve,55,91,29.1285
resolve,33,56,62.5187
dispute,50,38,93.716
chargeback,83,72,68.2881
deposit,38,60,59.9897
chargeback,4,32,51.0905
resolve,27,45,57.3785
dispute,26,59,65.8666
dispute,72,92,79.0028
deposit,82,34,68.619
dispute,39,2,78.964
dispute,50,67,19.4614
dispute,88,91,24.9948
withdraw,11,28,39.9031
deposit,55,16,75.7233
resolve,52,89,73.9825
resolve,5,59,37.4913
withdraw,72,7,4.109
dispute,99,83,50.0903
dispute,84,68,60.6567
withdraw,62,35,21.7544
chargeback,8,18,62.3021
deposit,78,79,8.3537
deposit,68,97,67.5701
resolve,37,98,28.0991
dispute,100,92,66.458
dispute,58,56,8.0342
dispute,16,64,16.4359
withdraw,81,4,96.314
dispute,64,11,34.1391
chargeback,58,62,95.9273
dispute,13,94,47.4649
withdraw,41,33,9.382
dispute,59,40,11.2831
dispute,17,90,21.3799
deposit,97,100,24.0371
withdraw,92,9,69.7374
dispute,93,51,64.0686
chargeback,67,77,26.6132
chargeback,71,32,48.8442
chargeback,18,98,45.1551
dispute,90,89,98.9554
resolve,56,92,52.9787
withdraw,21,92,32.9665
deposit,37,8,58.227
resolve,31,60,4.7571
withdraw,96,35,6.9167
deposit,93,91,44.0355
deposit,30,43,48.2805
dispute,94,71,13.7035
deposit,18,72,99.2136
deposit,100,6,94.3874
chargeback,39,86,64.85
deposit,65,91,81.5626
resolve,39,78,97.7062
resolve,3,16,16.4818
deposit,62,97,17.6535
chargeback,88,89,40.9281
deposit,6,66,82.0443
withdraw,5,62,20.5555
withdraw,4,9,66.1716
chargeback,51,71,21.7526
withdraw,9,21,59.123
dispute,18,87,64.2084
chargeback,67,47,4.8957
deposit,78,17,18.5427
chargeback,7,11,6.1448
deposit,82,22,3.6747
chargeback,10,66,77.0478
dispute,58,2,5.56
dispute,81,15,36.7006
resolve,54,32,48.1312
deposit,2,16,57.7172
chargeback,1,18,72.2376
resolve,8,67,17.1014
resolve,64,39,22.6515
resolve,24,18,31.0712
withdraw,94,60,40.5357
withdraw,47,3,48.9793
resolve,78,14,1.2495
chargeback,35,55,51.943
deposit,31,93,49.311
deposit,96,32,23.4151
deposit,68,52,31.9396
deposit,11,47,0.8325
resolve,88,51,14.0608
deposit,67,40,0.3665
dispute,56,13,81.3998
chargeback,63,91,89.8268
deposit,2,9,69.3866
chargeback,68,18,26.4824
deposit,73,89,54.3604
chargeback,89,7,46.9029
dispute,75,93,28.5239
dispute,27,60,63.5892
resolve,50,25,50.9684
resolve,29,41,85.0889
resolve,10,26,2.173
deposit,45,63,64.731
chargeback,63,66,9.4083
resolve,92,84,90.0392
chargeback,5,94,57.4511
deposit,40,72,94.7478
resolve,92,8,88.1975
withdraw,14,65,34.9541
withdraw,94,44,68.6098
resolve,67,10,36.426
chargeback,4,67,40.6172
chargeback,35,86,97.8315
chargeback,15,22,21.899
deposit,18,59,47.6823
resolve,16,49,28.3383
chargeback,35,91,37.3999
deposit,34,65,90.9945
resolve,73,80,8.3461
dispute,19,2,59.1634
withdraw,41,11,71.9625
withdraw,9,57,32.2622
chargeback,84,12,44.096
resolve,59,60,88.4154
chargeback,21,40,18.7917
chargeback,9,18,0.778
deposit,70,62,25.6915
dispute,63,97,7.6131
dispute,73,32,38.6102
deposit,37,60,96.7228
resolve,55,68,50.5928
dispute,94,46,43.6231
deposit,34,75,73.4016
deposit,82,12,41.4001
deposit,79,87,54.2974
deposit,5,90,24.8947
resolve,47,11,7.8776
withdraw,18,55,60.7981
chargeback,63,59,94.1493
chargeback,48,38,96.068
resolve,86,97,75.6333
chargeback,72,85,48.7258
resolve,49,13,65.779
deposit,12,17,69.4349
chargeback,58,58,48.577
dispute,10,93,62.7543
deposit,25,67,47.3479
resolve,38,37,47.954
withdraw,77,37,61.8804
resolve,99,45,58.4144
resolve,59,98,24.0673
deposit,87,7,3.5442
dispute,82,40,24.0848
chargeback,93,81,34.277
chargeback,18,1,21.8971
chargeback,29,16,96.3162
withdraw,54,43,43.3671
chargeback,100,96,71.482
resolve,10,49,5.8963
chargeback,87,67,64.0402
chargeback,28,45,22.6187
withdraw,15,38,82.5004
deposit,56,62,59.3045
resolve,63,42,39.5315
withdraw,37,75,69.8242
chargeback,34,95,66.2516
chargeback,41,59,14.4325
dispute,15,37,27.772
resolve,50,61,2.521
withdraw,19,51,17.2484
withdraw,77,84,92.1927
withdraw,97,52,35.489
chargeback,19,64,59.1598
chargeback,57,72,88.4103
resolve,96,36,76.7388
chargeback,57,9,75.4182
chargeback,44,71,77.293
deposit,83,14,74.4341
chargeback,38,93,33.4549
resolve,62,84,10.3615
dispute,58,92,16.2028
dispute,21,10,96.6027
chargeback,40,45,25.2448
dispute,47,18,67.9576
withdraw,45,12,57.4498
dispute,76,81,18.823
dispute,20,57,18.852
dispute,50,13,83.0312
withdraw,26,75,43.5118
withdraw,28,78,12.4476
dispute,95,4,61.8352
withdraw,62,66,48.96
deposit,1,88,63.5796
chargeback,68,42,13.9755
deposit,39,52,65.7278
dispute,3,47,88.9989
resolve,72,30,70.8295
deposit,22,54,88.9439
dispute,71,70,20.7775
deposit,17,3,48.1681
chargeback,15,81,36.4575
resolve,97,42,41.4155
dispute,83,32,53.5627
chargeback,93,17,75.2857
withdraw,44,44,69.8359
chargeback,96,23,77.4134
deposit,92,61,82.829
deposit,20,42,69.8032
deposit,21,73,68.6555
resolve,18,6,16.7198
chargeback,30,37,47.9341
withdraw,10,53,39.4074
chargeback,88,96,24.0353
resolve,51,69,22.978
deposit,68,60,1.8043
deposit,33,38,70.44
dispute,66,79,36.046
chargeback,7,11,73.0901
deposit,95,18,39.0139
dispute,1,31,35.1831
deposit,91,25,3.5699
resolve,97,41,27.2511
dispute,6,11,88.5409
deposit,78,15,71.899
resolve,82,86,64.3004
dispute,65,22,77.6858
resolve,22,24,30.9794
dispute,32,6,76.7989
withdraw,37,21,8.1732
deposit,41,4,26.9203
withdraw,84,52,50.6231
deposit,83,17,23.8866
deposit,78,53,26.8709
withdraw,26,78,72.0104
chargeback,95,27,28.4606
resolve,89,31,99.1385
dispute,84,30,62.9994
dispute,13,90,53.0946
chargeback,7,17,60.544
dispute,4,89,34.5087
resolve,92,53,3.4268
withdraw,4,61,96.1761
deposit,19,51,95.9587
deposit,3,95,96.7073
resolve,89,67,88.7449
chargeback,60,39,79.69
withdraw,39,98,26.5589
dispute,36,3,49.9967
chargeback,56,80,92.3657
resolve,1,65,65.0251
resolve,54,97,84.8116
chargeback,86,43,10.291
dispute,50,75,3.1573
dispute,92,6,46.6157
chargeback,32,55,5.075
chargeback,5,50,41.5149
withdraw,92,58,53.6276
chargeback,23,42,41.5816
withdraw,14,28,1.2084
dispute,37,97,85.0244
withdraw,16,63,65.1991
chargeback,10,7,69.5095
deposit,93,35,76.1933
chargeback,4,93,97.4274
dispute,76,12,68.9299
dispute,76,13,10.9629
resolve,80,82,62.4038
chargeback,33,92,87.4105
chargeback,32,85,80.311
dispute,95,14,28.2429
chargeback,7,41,74.7955
withdraw,28,29,83.9855
deposit,6,25,10.8234
dispute,24,98,91.7526
dispute,18,21,81.3232
dispute,76,8,5.5152
withdraw,67,89,46.3403
withdraw,28,92,58.6753
resolve,91,95,28.1205
dispute,16,72,88.5727
resolve,12,70,60.6607
dispute,2,67,74.1994
resolve,30,77,8.2936
dispute,85,42,18.7065
withdraw,16,79,81.7593
dispute,50,51,18.4947
dispute,90,100,25.5138
dispute,40,21,89.4334
resolve,91,67,60.2322
dispute,48,43,91.0461
deposit,99,66,60.4703
resolve,53,60,34.9173
withdraw,14,51,99.5672
resolve,47,70,71.3169
resolve,39,32,10.5153
withdraw,90,70,22.1028
dispute,80,1,17.5869
dispute,63,6,51.0584
resolve,27,15,95.6767
dispute,91,77,22.0573
deposit,35,51,77.9147
dispute,62,76,16.2686
dispute,38,46,11.9664
dispute,20,12,46.8237
resolve,95,14,49.7974
chargeback,35,9,71.2734
withdraw,57,9,91.7139
chargeback,40,15,40.8894
withdraw,1,30,44.1114
chargeback,37,79,32.4394
resolve,8,63,94.4163
chargeback,8,91,90.2561
dispute,28,89,67.2281
deposit,77,29,71.9819
deposit,47,32,14.3239
deposit,77,61,12.0668
dispute,37,69,18.9693
resolve,49,22,72.2551
withdraw,68,47,39.5459
deposit,65,85,56.6897
deposit,83,15,4.8959
dispute,26,67,10.346
resolve,41,10,4.3165
withdraw,67,49,74.8103
resolve,81,44,2.6024
withdraw,9,1,98.9433
withdraw,38,16,19.1082
chargeback,15,84,11.8162
resolve,5,68,99.156
withdraw,27,76,36.9301
chargeback,58,69,13.3077
deposit,85,37,6.8428
withdraw,71,4,6.932
deposit,64,25,9.2273
resolve,57,96,76.5166
withdraw,37,97,70.1499
resolve,91,46,13.5666
dispute,90,54,74.3632
withdraw,11,13,51.8461
deposit,6,34,87.505
resolve,86,59,7.9309
resolve,67,35,69.1504
resolve,97,85,37.795
chargeback,18,55,68.5783
withdraw,5,93,5.2742
deposit,53,19,81.5109
deposit,52,73,0.1374
withdraw,17,17,52.3157
deposit,85,87,37.5847
withdraw,6,15,32.2713
chargeback,85,44,8.1111
dispute,12,87,96.6882
withdraw,31,98,94.2492
resolve,94,64,68.8493
withdraw,99,15,47.905
chargeback,48,58,65.5738
resolve,4,5,69.3476
deposit,85,72,63.648
chargeback,26,31,98.2955
chargeback,71,99,22.6465
dispute,74,72,57.9204
withdraw,31,68,49.7274
withdraw,31,85,97.0988
dispute,94,83,93.7138
chargeback,44,22,18.7807
dispute,60,52,13.3109
deposit,38,70,39.9249
deposit,97,99,47.0256
deposit,87,66,98.9703
resolve,70,90,86.2095
chargeback,88,30,50.5983
resolve,99,19,83.4091
resolve,17,72,60.8645
withdraw,9,100,52.8052
withdraw,31,12,68.2485
dispute,10,40,98.3435
withdraw,69,32,88.369
chargeback,61,91,12.6385
chargeback,87,63,77.9483
chargeback,49,60,62.8985
chargeback,92,51,83.5515
resolve,36,13,4.928
dispute,32,93,74.8623
deposit,29,17,77.4733
deposit,57,90,71.8356
dispute,12,82,87.3225
deposit,18,48,42.2454
deposit,77,13,28.1573
dispute,43,8,62.3006
resolve,18,14,31.9807
deposit,84,17,26.3985
resolve,63,28,44.1304
resolve,79,88,92.7457
deposit,11,28,17.014
resolve,37,22,35.4033
resolve,45,55,94.7168
deposit,30,100,89.8306
resolve,81,67,59.106
withdraw,69,24,79.2536
dispute,7,58,2.2972
withdraw,1,50,46.0977
chargeback,53,74,90.5874
withdraw,74,46,96.7777
withdraw,17,13,17.1481
dispute,19,17,84.0536
dispute,63,62,13.6565
deposit,85,39,39.7067
deposit,72,25,48.8243
dispute,69,73,84.6815
deposit,75,61,46.9383
deposit,4,9,91.9254
resolve,27,42,81.8004
chargeback,12,50,88.2608
chargeback,77,62,82.7772
withdraw,98,3,37.5617
chargeback,97,28,62.3058
chargeback,83,83,76.1014
withdraw,47,46,34.569
dispute,68,50,18.7746
deposit,69,13,7.6653
chargeback,32,27,68.2796
resolve,85,39,98.7192
resolve,11,4,7.0002
dispute,90,33,53.3863
dispute,55,35,15.8031
deposit,94,100,44.1873
dispute,87,32,48.46
chargeback,31,37,96.3371
chargeback,27,13,53.4862
resolve,3,65,55.0848
chargeback,100,62,47.617
withdraw,86,39,44.6157
withdraw,97,55,80.9103
chargeback,39,87,77.8482
chargeback,29,2,44.7469
dispute,58,44,75.2756
deposit,41,52,95.8677
chargeback,50,33,84.7704
deposit,84,17,69.3285
deposit,4,64,53.9895
dispute,56,4,75.4041
deposit,74,98,70.7569
deposit,64,1,47.4195
dispute,76,40,22.9772
withdraw,69,17,86.57
chargeback,35,71,21.3676
resolve,35,65,85.7599
withdraw,33,48,51.5926
withdraw,42,78,26.5298
dispute,89,4,60.8835
chargeback,92,81,8.8638
dispute,79,10,92.9095
dispute,94,12,71.919
deposit,41,48,56.3999
resolve,93,42,76.6946
deposit,3,58,0.5861
deposit,87,16,49.4435
chargeback,48,3,58.9507
chargeback,34,25,65.7766
chargeback,53,56,46.4134
withdraw,82,70,36.1467
resolve,90,84,30.5149
resolve,48,7,66.5779
chargeback,87,33,47.9665
withdraw,29,75,33.5145
chargeback,34,19,4.053
dispute,83,6,20.7742
dispute,38,18,66.4337
resolve,58,99,48.1582
withdraw,15,1,1.2838
chargeback,81,4,84.2973
dispute,86,23,92.3759
deposit,14,51,35.0631
deposit,11,24,11.4173
deposit,75,34,1.3144
dispute,71,21,51.2738
withdraw,17,89,44.407
chargeback,44,3,58.3902
chargeback,20,47,83.2682
resolve,31,88,21.7529
resolve,66,28,51.3954
resolve,45,67,79.539
dispute,22,55,18.1432
chargeback,41,57,37.987
chargeback,28,27,70.2103
withdraw,21,53,30.3737
resolve,99,9,19.6968
dispute,38,88,51.2801
dispute,30,38,83.8602
withdraw,28,90,57.1269
resolve,52,18,48.5974
withdraw,75,38,15.8727
deposit,44,44,58.9094
withdraw,78,5,8.4349
resolve,26,16,28.0436
chargeback,24,79,22.2477
deposit,21,30,18.843
dispute,20,27,98.4112
withdraw,44,25,40.9647
deposit,68,22,27.6716
chargeback,9,20,65.2384
chargeback,81,42,45.4596
withdraw,23,56,81.9555
chargeback,12,20,25.7418
deposit,70,49,90.4438
chargeback,85,62,3.9388
resolve,95,44,69.7823
dispute,36,6,9.7703
withdraw,67,25,81.6629
dispute,45,22,11.8414
chargeback,44,80,17.8223
deposit,28,55,5.4912
withdraw,35,16,24.595
deposit,58,20,95.342
dispute,78,64,58.998
dispute,15,4,76.2733
resolve,60,4,11.6176
deposit,66,7,22.1586
withdraw,83,47,52.9653
deposit,48,96,41.9871
dispute,68,91,79.7691
withdraw,76,34,6.6074
resolve,71,42,30.9419
dispute,14,22,98.0304
chargeback,32,63,78.522
resolve,39,76,69.2204
deposit,77,48,44.7249
resolve,2,41,44.5402
chargeback,51,26,93.7679
withdraw,8,84,20.4472
chargeback,70,58,48.6542
chargeback,31,96,87.0917
withdraw,100,25,74.5608
chargeback,51,54,45.2633
chargeback,59,43,86.1391
resolve,48,64,14.6439
deposit,86,15,38.5022
deposit,51,85,91.0853
deposit,43,16,59.3232
deposit,38,27,57.2713
dispute,81,48,8.2296
resolve,23,64,23.2914
dispute,93,11,23.1164
resolve,47,95,37.3152
withdraw,59,89,61.0334
chargeback,16,19,71.7923
dispute,74,22,99.4071
chargeback,87,62,28.5211
dispute,11,29,39.8313
deposit,79,91,74.3138
resolve,80,27,33.9455
resolve,9,67,97.6402
deposit,42,78,83.3333
withdraw,50,82,4.4256
resolve,30,53,50.4035
dispute,93,52,96.5555
resolve,72,59,94.9191
dispute,50,100,71.6088
resolve,94,94,82.2206
dispute,32,69,12.4186
resolve,11,32,81.0988
resolve,2,59,86.6251
resolve,51,84,63.6671
chargeback,19,97,70.1642
chargeback,82,19,66.2658
dispute,89,94,33.8559
chargeback,28,74,69.5396
resolve,28,25,86.2845
deposit,68,59,34.703
withdraw,33,43,0.7136
dispute,7,27,57.218
withdraw,58,15,32.8454
deposit,75,37,36.5402
chargeback,75,33,87.1589
withdraw,86,9,10.9228
dispute,67,99,25.2417
deposit,56,74,75.8359
chargeback,84,5,35.9101
chargeback,99,68,60.2456
dispute,73,33,30.6999
withdraw,53,43,5.161
chargeback,58,4,58.8241
chargeback,59,10,8.3944
resolve,78,73,58.7022
resolve,58,17,0.5176
resolve,60,95,25.3303
withdraw,69,6,54.3076
withdraw,16,15,40.0893
withdraw,78,56,73.0953
resolve,29,95,84.0311
chargeback,32,24,2.4328
withdraw,48,12,83.4533
withdraw,65,23,38.9006
deposit,50,96,85.2018
chargeback,86,81,34.5368
deposit,81,94,57.4408
resolve,10,88,77.1606
resolve,29,6,83.1125
dispute,92,72,82.2746
dispute,3,75,21.2232
chargeback,29,8,19.2037
resolve,27,1,76.2264
deposit,13,60,30.2431
withdraw,27,60,38.2144
dispute,50,91,92.6098
withdraw,49,69,90.5862
withdraw,45,96,83.1173
dispute,28,42,64.8233
chargeback,66,83,34.6466
chargeback,10,79,58.3972
withdraw,28,31,38.1011
chargeback,34,83,66.433
dispute,29,5,23.3602
dispute,6,12,83.2657
deposit,98,11,52.8817
chargeback,1,49,58.3405
